Serial Number,Assessed Value,Sale Amount,Sales Ratio,Residential Type
60171,145040.0,215000.0,0.674604651,Single Family
1700558,197820.0,338000.0,0.5852,Single Family
130009,119490.0,150000.0,0.7966,Single Family
190196,277540.0,478000.0,0.5806,Single Family
170252,123700.0,210700.0,0.587,Single Family
80560,97500.0,90000.0,1.083333333,Single Family
18275,606170.0,508000.0,1.1932,Single Family
18132,79870.0,90000.0,0.8874,Single Family
900044,290400.0,162500.0,1.787076923,Single Family
160619,156730.0,224335.0,0.698642655,Single Family
200096,143490.0,247500.0,0.5797,Single Family
190250,179670.0,183300.0,0.9802,Single Family
11447,354130.0,535000.0,0.661925234,Single Family
161921,226510.0,285000.0,0.79477193,Condo
13014,98210.0,115000.0,0.854,Condo
130423,120700.0,148500.0,0.812794613,Two Family
180422,164850.0,290000.0,0.5684,Single Family
180197,282800.0,265650.0,1.06455863,Single Family
120137,150120.0,202000.0,0.743168317,Single Family
15217,2714600.0,2750000.0,0.987127273,Single Family
175931,66990.0,104000.0,0.6441,Condo
141515,63990.0,20000.0,3.1995,Condo
70397,240520.0,375000.0,0.641386667,Single Family
90079,72300.0,120500.0,0.6,Condo
150051,16700.0,357510.0,0.04671198,Condo
140620,139900.0,132500.0,1.055849057,Single Family
19657,34650.0,60000.0,0.5775,Single Family
190069,140350.0,216130.0,0.6494,Single Family
800574,51030.0,80000.0,0.637875,Condo
70495,178810.0,270000.0,0.662259259,Single Family
200415,54400.0,98000.0,0.5551,Condo
170315,138250.0,216000.0,0.640046296,Single Family
16197,304220.0,420000.0,0.724333333,Single Family
161007,115730.0,235000.0,0.492468085,Condo
170016,78470.0,171000.0,0.4588,Single Family
200037,291030.0,399000.0,0.7293,Single Family
200259,223090.0,325000.0,0.6864,Single Family
19005,132790.0,185000.0,0.7178,Single Family
170170,22010.0,20020.0,1.0994,Single Family
60248,187520.0,25000.0,7.5008,Single Family
140209,69230.0,67000.0,1.033283582,Condo
90539,114870.0,170000.0,0.675705882,Condo
151080,385930.0,637000.0,0.605855573,Single Family
200334,74070.0,145000.0,0.510827586,Condo
200253,39750.0,86000.0,0.4622,Condo
70044,191400.0,250000.0,0.7656,Single Family
90399,186000.0,215000.0,0.865116279,Single Family
160315,179060.0,302000.0,0.592913907,Single Family
100220,150920.0,159000.0,0.94918239,Single Family
